"KEGG Organisms: Complete Genomes"
"Eukaryotes: 542   Bacteria: 6047   Archaea: 338"
"Thermodesulfatator        tid   Thermodesulfatator indicus                          2011 GenBank"
"top    Thermodesulfobacterium geofontis                    2011 GenBank"
"Thermodesulfobacterium   tcm    Thermodesulfobacterium commune                      2014 GenBank"
"Thermodesulfobacteria                            thet   Thermodesulfobacterium sp. TA1                      2019 GenBank"
"Caldimicrobium           cthi   Caldimicrobium thiodismutans                        2016 GenBank"
"Thermosulfuriphilus      tav    Thermosulfuriphilus ammonigenes                     2020 GenBank"
"Thermosulfurimonas       tmai   Thermosulfurimonas marina                           2020 GenBank"
"saal   Candidatus Saccharimonas aalborgensis               2013 GenBank"
"Saccharimonas            sbe    Candidatus Saccharibacteria bacterium RAAC3_TM7_1   2013 GenBank"
"Saccharibacteria                               sbag Candidatus Saccharibacteria bacterium GW2011_GWC2_44_17     2017 GenBank"
"Nanosynbacter           sox   Candidatus Nanosynbacter lyticus                          2014 GenBank"
"Peregrinibacteria       Peribacter              prf   Candidatus Peribacter riflensis                           2016 GenBank"
"bana Candidatus Bipolaricaulis anaerobius                        2018 GenBank"
"Bipolaricaulota         Bipolaricaulis"
"bih   Candidatus Bipolaricaulis sp. Ch78                        2019 GenBank"
"srb   Candidate division SR1 bacterium RAAC1_SR1_1              2013 GenBank"
"Absconditabacteria"
"srg   Candidate division SR1 bacterium Aalborg_AAW-1            2016 GenBank"
"Methylomirabilis       mox    Candidatus Methylomirabilis oxyfera                       2012 GenBank"
"Other                   Chazhemtobacterium     caqa Candidatus Chazhemtobacterium aquaticus                     2020 GenBank"
"Babela                  dpb   Candidatus Babela massiliensis                            2013 GenBank"
"tmg   Candidate division TM6 bacterium GW2011_GWF2_28_16        2016 GenBank"
"wwe    Candidate division WWE3 bacterium RAAC2_WWE3_1            2013 GenBank"
"bgw    Candidate division Kazan bacterium GW2011_GWA1_50_15      2015 GenBank"
"bbgw Berkelbacteria bacterium GW2011_GWE1_39_12                  2015 GenBank"
"unclassified Bacteria                           mib   Candidatus Beckwithbacteria bacterium GW2011_GWC1_49_16   2015 GenBank"
"wba    Candidatus Woesebacteria bacterium GW2011_GWF1_31_35      2016 GenBank"
"pwo    Candidatus Wolfebacteria bacterium GW2011_GWB1_47_1       2015 GenBank"
"cgw    Candidatus Campbellbacteria bacterium GW2011_OD1_34_28    2016 GenBank"
"baab Bacterium AB1                                               2017 GenBank"
"mja   Methanocaldococcus jannaschii                             1996 GenBank"
"mfe   Methanocaldococcus fervens                                2009 GenBank"
"mvu    Methanocaldococcus vulcanius                              2009 GenBank"
"Methanocaldococcus"
"mfs   Methanocaldococcus sp. FS406-22                           2010 GenBank"
"mif   Methanocaldococcus infernus                               2010 GenBank"
"mjh   Methanocaldococcus bathoardescens                         2014 GenBank"
"Methanotorris           mig   Methanotorris igneus                                      2011 GenBank"
"mmp Methanococcus maripaludis S2                                 2004 GenBank"
"mmq Methanococcus maripaludis C5                                 2007 GenBank"
"mmx Methanococcus maripaludis C6                                 2007 GenBank"
"mmz Methanococcus maripaludis C7                                 2007 GenBank"
"mmd Methanococcus maripaludis X1                                 2011 GenBank"
"Methanococcus          mmak Methanococcus maripaludis KA1                               2019 GenBank"
""
"mmao Methanococcus maripaludis OS7                               2019 GenBank"
"mmad Methanococcus maripaludis DSM 2067                          2020 GenBank"
"mae    Methanococcus aeolicus                                    2007 GenBank"
"mvn    Methanococcus vannielii                                   2007 GenBank"
"mvo    Methanococcus voltae                                      2010 GenBank"
"Methanothermococcus    mok    Methanothermococcus okinawensis                           2011 GenBank"
"Methanofervidicoccus   metf   Methanofervidicoccus sp. A16                              2019 GenBank"
"mth   Methanothermobacter thermautotrophicus                    1997 GenBank"
"mmg Methanothermobacter marburgensis                             2010 GenBank"
"metc Methanothermobacter sp. CaT2                                2015 GenBank"
"mwo Methanothermobacter wolfeii                                  2017 GenBank"
"Methanothermobacter"
"mete Methanothermobacter sp. EMTCatA1                            2018 GenBank"
"metz Methanothermobacter sp. MT-2                                2018 GenBank"
"metk Methanothermobacter sp. KEPCO-1                             2019 GenBank"
"mthm Methanothermobacter sp. THM-1                               2020 GenBank"
"mst   Methanosphaera stadtmanae                                 2006 GenBank"
"Methanosphaera"
"metb Methanosphaera sp. BMS                                      2018 GenBank"
"mru    Methanobrevibacter ruminantium                            2010 GenBank"
"msi   Methanobrevibacter smithii                                2007 GenBank"
"meb    Methanobrevibacter sp. AbM4                               2013 GenBank"
"Methanobrevibacter"
"mmil Methanobrevibacter millerae                                 2016 GenBank"
"meye Methanobrevibacter sp. YE315                                2016 GenBank"
"mol   Methanobrevibacter olleyae                                2016 GenBank"
"mel   Methanobacterium lacus                                    2011 GenBank"
"mew Methanobacterium paludis                                     2011 GenBank"
"meth Methanobacterium sp. MB1                                    2013 GenBank"
"mfc   Methanobacterium formicicum BRM9                          2014 GenBank"
"mfi   Methanobacterium formicicum DSM1535                       2015 GenBank"
"Methanobacterium"
"mcub Methanobacterium congolense                                 2016 GenBank"
"msub Methanobacterium subterraneum                               2018 GenBank"
"metn Methanobacterium sp. MZ-A1                                  2018 GenBank"
"mett   Methanobacterium sp. BRmetb2                              2018 GenBank"
"meto Methanobacterium sp. BAmetb5                                2018 GenBank"
"Methanothermus          mfv   Methanothermus fervidus                                   2010 GenBank"
"Methanopyrus           mka    Methanopyrus kandleri                                     2002 GenBank"
"afu   Archaeoglobus fulgidus DSM 4304                           1997 GenBank"
"afg   Archaeoglobus fulgidus DSM 8774                           2014 GenBank"
"                Archaeoglobus                     apo    Archaeoglobus profundus                                     2010 GenBank"
"ave    Archaeoglobus veneficus                                     2011 GenBank"
"ast    Archaeoglobus sulfaticallidus                               2013 GenBank"
"Ferroglobus                       fpl    Ferroglobus placidus                                        2010 GenBank"
"gac    Geoglobus acetivorans                                       2015 GenBank"
"Geoglobus"
"gah    Geoglobus ahangari                                          2015 GenBank"
"tac    Thermoplasma acidophilum                                    2000 GenBank"
"Thermoplasma"
"tvo    Thermoplasma volcanium                                      2000 GenBank"
"Picrophilus                       pto    Picrophilus torridus                                        2004 GenBank"
"fac    Ferroplasma acidarmanus                                     2013 GenBank"
"Ferroplasma"
"fai    Ferroplasma acidiphilum                                     2017 GenBank"
"Cuniculiplasma                   cdiv    Cuniculiplasma divulgatum                                   2017 GenBank"
"unclassified Thermoplasmatales    tar    Thermoplasmatales archaeon BRNA1                            2013 GenBank"
"Methanomethylophilus             max     Candidatus Methanomethylophilus alvus                       2013 GenBank"
"Methanomassiliicoccus            mer     Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1   2013 GenBank"
"Methanoplasma                    mear Candidatus Methanoplasma termitum                              2015 GenBank"
"unclassified Thermoplasmata      marc Methanogenic archaeon ISO4-H5                                  2016 GenBank"
"abi    Aciduliprofundum boonei                                     2010 GenBank"
"Aciduliprofundum"
"acf    Aciduliprofundum sp. MAR08-339                              2012 GenBank"
"pfu    Pyrococcus furiosus DSM 3638                                2002 GenBank"
"pfi    Pyrococcus furiosus COM1                                    2012 GenBank"
"pho    Pyrococcus horikoshii                                       1998 GenBank"
"pab    Pyrococcus abyssi                                           1999 GenBank"
"Pyrococcus"
"pyn    Pyrococcus sp. NA2                                          2011 GenBank"
"pya    Pyrococcus yayanosii                                        2011 GenBank"
